time_index,posterior_probability
2982,0.0005
2983,8.333333333333333e-05
2984,0.0005
2985,0.0004166666666666667
2986,0.0011666666666666668
2987,0.0009166666666666666
2988,0.0005
2989,0.0005833333333333334
2990,0.0008333333333333334
2991,0.0005
2992,0.0009166666666666666
2993,0.0005
2994,0.0033333333333333335
2995,0.0019166666666666666
2996,0.058
2997,0.0345
2998,0.024583333333333332
2999,0.03158333333333333
3000,0.021
3001,0.018083333333333333
3002,0.028
3003,0.0355
3004,0.039
3005,0.036166666666666666
3006,0.03833333333333333
3007,0.029416666666666667
3008,0.02525
3009,0.02025
3010,0.06741666666666667
3011,0.06691666666666667
3012,0.05533333333333333
3013,0.041166666666666664
3014,0.03741666666666667
3015,0.036833333333333336
3016,0.03766666666666667
3017,0.02825
3018,0.041166666666666664
3019,0.0295
3020,0.025166666666666667
3021,0.0145
3022,0.013333333333333334
3023,0.00975
3024,0.00675
3025,0.007666666666666666
3026,0.004083333333333333
3027,0.004916666666666666
3028,0.0025833333333333333
3029,0.004333333333333333
3030,0.00325
3031,0.00125
3032,0.0005833333333333334
3033,0.0011666666666666668
3034,0.0019166666666666666
3035,0.00025
3036,0.0010833333333333333
3037,0.00016666666666666666
3038,0.00075
3039,8.333333333333333e-05
3040,0.0005833333333333334
3042,0.0003333333333333333
3043,8.333333333333333e-05
3044,0.0005
3045,0.00016666666666666666
3046,8.333333333333333e-05
3047,8.333333333333333e-05
3049,0.0004166666666666667
3050,8.333333333333333e-05
3052,8.333333333333333e-05
